Consensus (automatic)	Assessment_1	Assessment_2	URL	Project	Method	Invariant_type	Invariant	Comments
valid	valid	valid	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/RepositoryExtensions.cs#L85	libgit2sharp	LibGit2Sharp.RepositoryExtensions.ApplyTag(LibGit2Sharp.IRepository repository, System.String tagName, System.String objectish)	post	objectish.Equals(Contract.OldValue(objectish))	not useful
valid	valid	valid	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/RepositoryExtensions.cs#L86	libgit2sharp	LibGit2Sharp.RepositoryExtensions.ApplyTag(LibGit2Sharp.IRepository repository, System.String tagName, System.String objectish)	post	tagName.Equals(Contract.OldValue(tagName))	not useful
invalid	invalid	invalid	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/RepositoryExtensions.cs#L87	libgit2sharp	LibGit2Sharp.RepositoryExtensions.ApplyTag(LibGit2Sharp.IRepository repository, System.String tagName, System.String objectish)	post	objectish.Equals("HEAD")	
invalid	invalid	invalid	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/RepositoryExtensions.cs#L88	libgit2sharp	LibGit2Sharp.RepositoryExtensions.ApplyTag(LibGit2Sharp.IRepository repository, System.String tagName, System.String objectish)	post	tagName.Equals("mytaghead")	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/GitObject.cs#L135	libgit2sharp	LibGit2Sharp.GitObject.op_Equality(LibGit2Sharp.GitObject left, LibGit2Sharp.GitObject right)	pre	left.repo.refs != null	not accessed
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/GitObject.cs#L136	libgit2sharp	LibGit2Sharp.GitObject.op_Equality(LibGit2Sharp.GitObject left, LibGit2Sharp.GitObject right)	pre	LibGit2Sharp.GitObject.equalityHelper != null	static readonly
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/GitObject.cs#L137	libgit2sharp	LibGit2Sharp.GitObject.op_Equality(LibGit2Sharp.GitObject left, LibGit2Sharp.GitObject right)	pre	left.repo.toCleanup != null	not accessed
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/GitObject.cs#L138	libgit2sharp	LibGit2Sharp.GitObject.op_Equality(LibGit2Sharp.GitObject left, LibGit2Sharp.GitObject right)	pre	left.repo.rebaseOperation != null	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/GitObject.cs#L139	libgit2sharp	LibGit2Sharp.GitObject.op_Equality(LibGit2Sharp.GitObject left, LibGit2Sharp.GitObject right)	pre	left.repo.ignore != null	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/GitObject.cs#L140	libgit2sharp	LibGit2Sharp.GitObject.op_Equality(LibGit2Sharp.GitObject left, LibGit2Sharp.GitObject right)	pre	LibGit2Sharp.Diff.HandleRetrieverDispatcher != null	
invalid	invalid	invalid	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/GitObject.cs#L141	libgit2sharp	LibGit2Sharp.GitObject.op_Equality(LibGit2Sharp.GitObject left, LibGit2Sharp.GitObject right)	pre	right == null	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/GitObject.cs#L142	libgit2sharp	LibGit2Sharp.GitObject.op_Equality(LibGit2Sharp.GitObject left, LibGit2Sharp.GitObject right)	pre	left.repo.isBare == false	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/GitObject.cs#L143	libgit2sharp	LibGit2Sharp.GitObject.op_Equality(LibGit2Sharp.GitObject left, LibGit2Sharp.GitObject right)	pre	LibGit2Sharp.GitObject.TypeToKindMap != null	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/GitObject.cs#L144	libgit2sharp	LibGit2Sharp.GitObject.op_Equality(LibGit2Sharp.GitObject left, LibGit2Sharp.GitObject right)	pre	left.repo.odb != null	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/GitObject.cs#L145	libgit2sharp	LibGit2Sharp.GitObject.op_Equality(LibGit2Sharp.GitObject left, LibGit2Sharp.GitObject right)	post	(Contract.Result<bool>() == false).Implies(left.repo.commits != null)	not accessed
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/GitObject.cs#L146	libgit2sharp	LibGit2Sharp.GitObject.op_Equality(LibGit2Sharp.GitObject left, LibGit2Sharp.GitObject right)	post	(Contract.Result<bool>() == false).Implies(left.repo.handle != null)	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/GitObject.cs#L147	libgit2sharp	LibGit2Sharp.GitObject.op_Equality(LibGit2Sharp.GitObject left, LibGit2Sharp.GitObject right)	post	(Contract.Result<bool>() == false).Implies(left.repo.ignore != null)	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/GitObject.cs#L148	libgit2sharp	LibGit2Sharp.GitObject.op_Equality(LibGit2Sharp.GitObject left, LibGit2Sharp.GitObject right)	post	left.repo.submodules != null	
invalid	invalid	invalid	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/GitObject.cs#L149	libgit2sharp	LibGit2Sharp.GitObject.op_Equality(LibGit2Sharp.GitObject left, LibGit2Sharp.GitObject right)	post	Contract.OldValue(left) == Contract.OldValue(right)	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/GitObject.cs#L150	libgit2sharp	LibGit2Sharp.GitObject.op_Equality(LibGit2Sharp.GitObject left, LibGit2Sharp.GitObject right)	post	left.repo.pathCase == Contract.OldValue(left.repo.pathCase)	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/GitObject.cs#L151	libgit2sharp	LibGit2Sharp.GitObject.op_Equality(LibGit2Sharp.GitObject left, LibGit2Sharp.GitObject right)	post	left.repo.commits != null	
invalid	invalid	invalid	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/GitObject.cs#L152	libgit2sharp	LibGit2Sharp.GitObject.op_Equality(LibGit2Sharp.GitObject left, LibGit2Sharp.GitObject right)	post	Contract.Result<bool>() == false	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/GitObject.cs#L153	libgit2sharp	LibGit2Sharp.GitObject.op_Equality(LibGit2Sharp.GitObject left, LibGit2Sharp.GitObject right)	post	left.repo.ignore != null	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/GitObject.cs#L154	libgit2sharp	LibGit2Sharp.GitObject.op_Equality(LibGit2Sharp.GitObject left, LibGit2Sharp.GitObject right)	post	left.repo.rebaseOperation == Contract.OldValue(left.repo.rebaseOperation)	
valid	valid	valid	https://github.com/libgit2/libgit2sharp/blob/f4a6001464/LibGit2Sharp/Core/Proxy.cs#L413	libgit2sharp	LibGit2Sharp.Core.Proxy.git_commit_tree_id(LibGit2Sharp.Core.Handles.GitObjectSafeHandle obj)	pre	obj != null	based on natural expectation
valid	valid	valid	https://github.com/libgit2/libgit2sharp/blob/f4a6001464/LibGit2Sharp/Core/Proxy.cs#L414	libgit2sharp	LibGit2Sharp.Core.Proxy.git_commit_tree_id(LibGit2Sharp.Core.Handles.GitObjectSafeHandle obj)	pre	obj.handle != null	based on natural expectation
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a6001464/LibGit2Sharp/Core/Proxy.cs#L415	libgit2sharp	LibGit2Sharp.Core.Proxy.git_commit_tree_id(LibGit2Sharp.Core.Handles.GitObjectSafeHandle obj)	post	Contract.Result<LibGit2Sharp.ObjectId>().oid.Id.LexGTE(LibGit2Sharp.ObjectId.reverseHexDigits)	
valid	valid	valid	https://github.com/libgit2/libgit2sharp/blob/f4a6001464/LibGit2Sharp/Core/Proxy.cs#L416	libgit2sharp	LibGit2Sharp.Core.Proxy.git_commit_tree_id(LibGit2Sharp.Core.Handles.GitObjectSafeHandle obj)	post	obj.handle == Contract.OldValue(obj.handle)	not useful
conflict	invalid	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a6001464/LibGit2Sharp/Core/Proxy.cs#L417	libgit2sharp	LibGit2Sharp.Core.Proxy.git_commit_tree_id(LibGit2Sharp.Core.Handles.GitObjectSafeHandle obj)	post	Contract.ForAll(LibGit2Sharp.ObjectId.reverseHexDigits, x => x < LibGit2Sharp.ObjectId.reverseHexDigits.Count()-1)	R1: false? one hex digit = 'F' and the count is 16.
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a6001464/LibGit2Sharp/Core/Proxy.cs#L418	libgit2sharp	LibGit2Sharp.Core.Proxy.git_commit_tree_id(LibGit2Sharp.Core.Handles.GitObjectSafeHandle obj)	post	LibGit2Sharp.ObjectId.reverseHexDigits != null	though probably valid
valid	valid	valid	https://github.com/libgit2/libgit2sharp/blob/f4a6001464/LibGit2Sharp/Core/Proxy.cs#L419	libgit2sharp	LibGit2Sharp.Core.Proxy.git_commit_tree_id(LibGit2Sharp.Core.Handles.GitObjectSafeHandle obj)	post	Contract.Result<LibGit2Sharp.ObjectId>().oid != null	natural expectation
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a6001464/LibGit2Sharp/Core/Proxy.cs#L420	libgit2sharp	LibGit2Sharp.Core.Proxy.git_commit_tree_id(LibGit2Sharp.Core.Handles.GitObjectSafeHandle obj)	post	Contract.ForAll(LibGit2Sharp.ObjectId.reverseHexDigits, x => x < LibGit2Sharp.ObjectId.HexSize)	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a6001464/LibGit2Sharp/Core/Proxy.cs#L421	libgit2sharp	LibGit2Sharp.Core.Proxy.git_commit_tree_id(LibGit2Sharp.Core.Handles.GitObjectSafeHandle obj)	post	Contract.ForAll(LibGit2Sharp.ObjectId.reverseHexDigits, x => x < Contract.Result<LibGit2Sharp.ObjectId>().oid.Id.Count()-1)	
valid	valid	valid	https://github.com/libgit2/libgit2sharp/blob/f4a6001464/LibGit2Sharp/Core/Proxy.cs#L422	libgit2sharp	LibGit2Sharp.Core.Proxy.git_commit_tree_id(LibGit2Sharp.Core.Handles.GitObjectSafeHandle obj)	post	Contract.Result<LibGit2Sharp.ObjectId>() != null	natural expectation
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a6001464/LibGit2Sharp/Core/Proxy.cs#L423	libgit2sharp	LibGit2Sharp.Core.Proxy.git_commit_tree_id(LibGit2Sharp.Core.Handles.GitObjectSafeHandle obj)	post	LibGit2Sharp.ObjectId.reverseHexDigits.Count() != Contract.Result<LibGit2Sharp.ObjectId>().oid.Id[LibGit2Sharp.ObjectId.rawSize-1]	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a6001464/LibGit2Sharp/Core/Proxy.cs#L424	libgit2sharp	LibGit2Sharp.Core.Proxy.git_commit_tree_id(LibGit2Sharp.Core.Handles.GitObjectSafeHandle obj)	post	LibGit2Sharp.ObjectId.rawSize == 20	
valid	valid	valid	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/ReferenceCollection.cs#L653	libgit2sharp	LibGit2Sharp.ReferenceCollection.UpdateHeadTarget(LibGit2Sharp.ObjectId target, System.String logMessage)	pre	target.oid != null	natural expectation
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/ReferenceCollection.cs#L654	libgit2sharp	LibGit2Sharp.ReferenceCollection.UpdateHeadTarget(LibGit2Sharp.ObjectId target, System.String logMessage)	pre	LibGit2Sharp.ObjectId.hexDigits != null	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/ReferenceCollection.cs#L655	libgit2sharp	LibGit2Sharp.ReferenceCollection.UpdateHeadTarget(LibGit2Sharp.ObjectId target, System.String logMessage)	pre	LibGit2Sharp.ObjectId.reverseHexDigits.Count() == 55	
valid	valid	valid	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/ReferenceCollection.cs#L656	libgit2sharp	LibGit2Sharp.ReferenceCollection.UpdateHeadTarget(LibGit2Sharp.ObjectId target, System.String logMessage)	pre	target.sha != null	natural expectation
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/ReferenceCollection.cs#L657	libgit2sharp	LibGit2Sharp.ReferenceCollection.UpdateHeadTarget(LibGit2Sharp.ObjectId target, System.String logMessage)	pre	LibGit2Sharp.Diff.HandleRetrieverDispatcher != null	
invalid	invalid	invalid	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/ReferenceCollection.cs#L658	libgit2sharp	LibGit2Sharp.ReferenceCollection.UpdateHeadTarget(LibGit2Sharp.ObjectId target, System.String logMessage)	pre	Contract.ForAll(LibGit2Sharp.ObjectId.reverseHexDigits, x => x < target.oid.Id.Count()-1)	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/ReferenceCollection.cs#L659	libgit2sharp	LibGit2Sharp.ReferenceCollection.UpdateHeadTarget(LibGit2Sharp.ObjectId target, System.String logMessage)	pre	LibGit2Sharp.ObjectId.rawSize == 20	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/ReferenceCollection.cs#L660	libgit2sharp	LibGit2Sharp.ReferenceCollection.UpdateHeadTarget(LibGit2Sharp.ObjectId target, System.String logMessage)	pre	LibGit2Sharp.ObjectId.equalityHelper != null	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/ReferenceCollection.cs#L661	libgit2sharp	LibGit2Sharp.ReferenceCollection.UpdateHeadTarget(LibGit2Sharp.ObjectId target, System.String logMessage)	pre	Contract.ForAll(LibGit2Sharp.ObjectId.reverseHexDigits, x => x < LibGit2Sharp.ObjectId.HexSize)	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/ReferenceCollection.cs#L662	libgit2sharp	LibGit2Sharp.ReferenceCollection.UpdateHeadTarget(LibGit2Sharp.ObjectId target, System.String logMessage)	pre	LibGit2Sharp.ObjectId.byteConverter != null	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/ReferenceCollection.cs#L663	libgit2sharp	LibGit2Sharp.ReferenceCollection.UpdateHeadTarget(LibGit2Sharp.ObjectId target, System.String logMessage)	post	LibGit2Sharp.ObjectId.hexDigits != null	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/ReferenceCollection.cs#L664	libgit2sharp	LibGit2Sharp.ReferenceCollection.UpdateHeadTarget(LibGit2Sharp.ObjectId target, System.String logMessage)	post	this.repo.stashes == Contract.OldValue(this.repo.stashes)	though probably valid
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/ReferenceCollection.cs#L665	libgit2sharp	LibGit2Sharp.ReferenceCollection.UpdateHeadTarget(LibGit2Sharp.ObjectId target, System.String logMessage)	post	LibGit2Sharp.ObjectId.Zero != null	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/ReferenceCollection.cs#L666	libgit2sharp	LibGit2Sharp.ReferenceCollection.UpdateHeadTarget(LibGit2Sharp.ObjectId target, System.String logMessage)	post	LibGit2Sharp.ObjectId.rawSize == target.oid.Id.Count()	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/ReferenceCollection.cs#L667	libgit2sharp	LibGit2Sharp.ReferenceCollection.UpdateHeadTarget(LibGit2Sharp.ObjectId target, System.String logMessage)	post	LibGit2Sharp.Diff.HandleRetrieverDispatcher != null	
valid	valid	valid	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/ReferenceCollection.cs#L668	libgit2sharp	LibGit2Sharp.ReferenceCollection.UpdateHeadTarget(LibGit2Sharp.ObjectId target, System.String logMessage)	post	target.sha == Contract.OldValue(target.sha)	not useful
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/ReferenceCollection.cs#L669	libgit2sharp	LibGit2Sharp.ReferenceCollection.UpdateHeadTarget(LibGit2Sharp.ObjectId target, System.String logMessage)	post	Contract.ForAll(0, LibGit2Sharp.ObjectId.reverseHexDigits.Count(), i => LibGit2Sharp.ObjectId.reverseHexDigits[i].Equals(Contract.OldValue(LibGit2Sharp.ObjectId.reverseHexDigits)[i]))	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/ReferenceCollection.cs#L670	libgit2sharp	LibGit2Sharp.ReferenceCollection.UpdateHeadTarget(LibGit2Sharp.ObjectId target, System.String logMessage)	post	LibGit2Sharp.Diff.ChangesBuilders != null	
irrelevant	irrelevant	irrelevant	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/ReferenceCollection.cs#L671	libgit2sharp	LibGit2Sharp.ReferenceCollection.UpdateHeadTarget(LibGit2Sharp.ObjectId target, System.String logMessage)	post	this.repo.diff == Contract.OldValue(this.repo.diff)	though probably valid; related to method?
invalid	invalid	invalid	https://github.com/libgit2/libgit2sharp/blob/f4a60014642ae4d050bf2db46a03b862ef7e8040/LibGit2Sharp/ReferenceCollection.cs#L672	libgit2sharp	LibGit2Sharp.ReferenceCollection.UpdateHeadTarget(LibGit2Sharp.ObjectId target, System.String logMessage)	post	LibGit2Sharp.ObjectId.reverseHexDigits.Count() < target.oid.Id[LibGit2Sharp.ObjectId.rawSize-1]	
valid	valid	valid	https://github.com/apache/logging-log4net/blob/c04a774240fd4500ed3206124aba5b4bc8bc4933/src/Appender/RemotingAppender.cs#L210	log4net	log4net.Appender.RemotingAppender.OnClose()	pre	this.m_sinkObj != null	
valid	valid	valid	https://github.com/apache/logging-log4net/blob/c04a774240fd4500ed3206124aba5b4bc8bc4933/src/Appender/RemotingAppender.cs#L211	log4net	log4net.Appender.RemotingAppender.OnClose()	pre	this.m_sinkUrl != null	
valid	valid	valid	https://github.com/apache/logging-log4net/blob/c04a774240fd4500ed3206124aba5b4bc8bc4933/src/Appender/RemotingAppender.cs#L212	log4net	log4net.Appender.RemotingAppender.OnClose()	post	this.m_sinkUrl == Contract.OldValue(this.m_sinkUrl)	
valid	valid	valid	https://github.com/apache/logging-log4net/blob/c04a774240fd4500ed3206124aba5b4bc8bc4933/src/Appender/RemotingAppender.cs#L213	log4net	log4net.Appender.RemotingAppender.OnClose()	post	this.m_sinkObj != null	
valid	valid	valid	https://github.com/apache/logging-log4net/blob/c04a774240fd4500ed3206124aba5b4bc8bc4933/src/Appender/RemotingAppender.cs#L214	log4net	log4net.Appender.RemotingAppender.OnClose()	post	this.m_sinkObj == Contract.OldValue(this.m_sinkObj)	
valid	valid	valid	https://github.com/apache/logging-log4net/blob/c04a774240fd4500ed3206124aba5b4bc8bc4933/src/Appender/RemotingAppender.cs#L215	log4net	log4net.Appender.RemotingAppender.OnClose()	post	this.m_sinkUrl.Equals(Contract.OldValue(this.m_sinkUrl))	
invalid	invalid	invalid	https://github.com/apache/logging-log4net/blob/c04a774240fd4500ed3206124aba5b4bc8bc4933/src/Appender/RemotingAppender.cs#L216	log4net	log4net.Appender.RemotingAppender.OnClose()	post	this.m_workQueueEmptyEvent == Contract.OldValue(this.m_workQueueEmptyEvent)	(R1 is not sure. The method waits for the emptyevent to be triggered. Does this mean the event is unchanged? could it become non-empty after the trigger?)
invalid	invalid	invalid	https://github.com/apache/logging-log4net/blob/c04a774240fd4500ed3206124aba5b4bc8bc4933/src/Appender/RemotingAppender.cs#L217	log4net	log4net.Appender.RemotingAppender.OnClose()	post	this.m_queuedCallbackCount == Contract.OldValue(this.m_queuedCallbackCount)	R1 is not sure, but thinks this is probably invalid. Since queue has to become empty before closing in general, and may not be before
valid	valid	valid	https://github.com/apache/logging-log4net/blob/c04a774240fd4500ed3206124aba5b4bc8bc4933/src/Appender/RemotingAppender.cs#L218	log4net	log4net.Appender.RemotingAppender.OnClose()	post	this.m_sinkUrl != null	R1: it's probably valid, but not sure if it's relevant. Can urls be reopened after closing?
valid	valid	valid	https://github.com/apache/logging-log4net/blob/c04a774240fd4500ed3206124aba5b4bc8bc4933/src/Util/LogLog.cs#L298	log4net	log4net.Util.LogLog.OnLogReceived(System.Type source, System.String prefix, System.String message, System.Exception exception)	pre	prefix != null	natural expectation
valid	valid	valid	https://github.com/apache/logging-log4net/blob/c04a774240fd4500ed3206124aba5b4bc8bc4933/src/Util/LogLog.cs#L299	log4net	log4net.Util.LogLog.OnLogReceived(System.Type source, System.String prefix, System.String message, System.Exception exception)	pre	source != null	natural expectation
invalid	invalid	invalid	https://github.com/apache/logging-log4net/blob/c04a774240fd4500ed3206124aba5b4bc8bc4933/src/Util/LogLog.cs#L300	log4net	log4net.Util.LogLog.OnLogReceived(System.Type source, System.String prefix, System.String message, System.Exception exception)	pre	prefix.OneOf("log4net: ", "log4net:ERROR ")	
valid	valid	valid	https://github.com/apache/logging-log4net/blob/c04a774240fd4500ed3206124aba5b4bc8bc4933/src/Util/LogLog.cs#L301	log4net	log4net.Util.LogLog.OnLogReceived(System.Type source, System.String prefix, System.String message, System.Exception exception)	pre	message != null	natural expectation
invalid	invalid	invalid	https://github.com/apache/logging-log4net/blob/c04a774240fd4500ed3206124aba5b4bc8bc4933/src/Util/LogLog.cs#L302	log4net	log4net.Util.LogLog.OnLogReceived(System.Type source, System.String prefix, System.String message, System.Exception exception)	pre	prefix.CompareTo(message) > 0	
invalid	invalid	invalid	https://github.com/apache/logging-log4net/blob/c04a774240fd4500ed3206124aba5b4bc8bc4933/src/Util/LogLog.cs#L303	log4net	log4net.Util.LogLog.OnLogReceived(System.Type source, System.String prefix, System.String message, System.Exception exception)	pre	exception == null	documentation at line 115 says it can be null
invalid	invalid	invalid	https://github.com/apache/logging-log4net/blob/c04a774240fd4500ed3206124aba5b4bc8bc4933/src/Util/LogLog.cs#L304	log4net	log4net.Util.LogLog.OnLogReceived(System.Type source, System.String prefix, System.String message, System.Exception exception)	post	prefix.OneOf("log4net: ", "log4net:ERROR ")	
invalid	invalid	invalid	https://github.com/apache/logging-log4net/blob/c04a774240fd4500ed3206124aba5b4bc8bc4933/src/Util/LogLog.cs#L305	log4net	log4net.Util.LogLog.OnLogReceived(System.Type source, System.String prefix, System.String message, System.Exception exception)	post	prefix.CompareTo(message) > 0	
valid	valid	valid	https://github.com/apache/logging-log4net/blob/c04a774240fd4500ed3206124aba5b4bc8bc4933/src/Util/LogLog.cs#L306	log4net	log4net.Util.LogLog.OnLogReceived(System.Type source, System.String prefix, System.String message, System.Exception exception)	post	message.Equals(Contract.OldValue(message))	
valid	valid	valid	https://github.com/apache/logging-log4net/blob/c04a774240fd4500ed3206124aba5b4bc8bc4933/src/Util/LogLog.cs#L307	log4net	log4net.Util.LogLog.OnLogReceived(System.Type source, System.String prefix, System.String message, System.Exception exception)	post	prefix.Equals(Contract.OldValue(prefix))	
valid	valid	valid	https://github.com/apache/logging-log4net/blob/c04a774240fd4500ed3206124aba5b4bc8bc4933/src/Appender/AppenderSkeleton.cs#L631	log4net	log4net.Appender.AppenderSkeleton.Append(log4net.Core.LoggingEvent[] loggingEvents)	pre	Contract.ForAll(loggingEvents, x => x.m_data != null)	based on https://github.com/apache/logging-log4net/blob/c04a774240fd4500ed3206124aba5b4bc8bc4933/src/Core/LoggingEvent.cs
invalid	invalid	invalid	https://github.com/apache/logging-log4net/blob/c04a774240fd4500ed3206124aba5b4bc8bc4933/src/Appender/AppenderSkeleton.cs#L632	log4net	log4net.Appender.AppenderSkeleton.Append(log4net.Core.LoggingEvent[] loggingEvents)	pre	Contract.ForAll(loggingEvents, x => x.m_cacheUpdatable == false)	
irrelevant	irrelevant	irrelevant	https://github.com/apache/logging-log4net/blob/c04a774240fd4500ed3206124aba5b4bc8bc4933/src/Appender/AppenderSkeleton.cs#L633	log4net	log4net.Appender.AppenderSkeleton.Append(log4net.Core.LoggingEvent[] loggingEvents)	pre	this.m_name == null	
invalid	invalid	invalid	https://github.com/apache/logging-log4net/blob/c04a774240fd4500ed3206124aba5b4bc8bc4933/src/Appender/AppenderSkeleton.cs#L634	log4net	log4net.Appender.AppenderSkeleton.Append(log4net.Core.LoggingEvent[] loggingEvents)	pre	Contract.ForAll(loggingEvents, x => x.m_eventProperties == null)	
valid	valid	valid	https://github.com/apache/logging-log4net/blob/c04a774240fd4500ed3206124aba5b4bc8bc4933/src/Appender/AppenderSkeleton.cs#L635	log4net	log4net.Appender.AppenderSkeleton.Append(log4net.Core.LoggingEvent[] loggingEvents)	pre	Contract.ForAll(loggingEvents, x => x.m_data.LoggerName != null)	All fields in LoggingEvent's constructor are non-null https://github.com/apache/logging-log4net/blob/c04a774240fd4500ed3206124aba5b4bc8bc4933/src/Core/LoggingEvent.cs#L477
